Industry,Age_Brackets,Tenure, Employees,Average Basic Salary
A-Agriculture and fishing,<55,0,27,626
A-Agriculture and fishing,<55,0,76,981
A-Agriculture and fishing,<55,0,23,1622
A-Agriculture and fishing,<55,0,16,1431
A-Agriculture and fishing,<55,0,5,1880
A-Agriculture and fishing,<55,0,1,5000
A-Agriculture and fishing,<55,0,27,700
A-Agriculture and fishing,<55,0,12,3683
A-Agriculture and fishing,<55,0,7,909
A-Agriculture and fishing,<55,0,8,963
A-Agriculture and fishing,<55,0,9,2901
A-Agriculture and fishing,<55,0,50,1399
A-Agriculture and fishing,<55,0,40,898
A-Agriculture and fishing,<55,0,2,3600
A-Agriculture and fishing,<55,0,32,883
A-Agriculture and fishing,<55,0,8,1180
A-Agriculture and fishing,<55,0,3,1483
A-Agriculture and fishing,<55,0,12,888
A-Agriculture and fishing,<55,0,7,1600
A-Agriculture and fishing,<55,0,16,903
A-Agriculture and fishing,<55,0,2,5150
A-Agriculture and fishing,<55,0,48,870
A-Agriculture and fishing,<55,0,19,2426
A-Agriculture and fishing,<55,0,3,1267
A-Agriculture and fishing,<55,0,1,30000
A-Agriculture and fishing,<55,0,1,4500
A-Agriculture and fishing,<55,0,19,724
A-Agriculture and fishing,<55,0,24,1166
A-Agriculture and fishing,<55,0,10,1083
A-Agriculture and fishing,<55,0,1,500
A-Agriculture and fishing,<55,0,29,1125
A-Agriculture and fishing,<55,0,23,891
A-Agriculture and fishing,<55,0,2,11500
A-Agriculture and fishing,<55,0,109,780
A-Agriculture and fishing,<55,0,55,1269
A-Agriculture and fishing,<55,0,1,1500
A-Agriculture and fishing,<55,0,27,885
A-Agriculture and fishing,<55,0,7,2271
A-Agriculture and fishing,<55,0,2,4400
A-Agriculture and fishing,<55,0,4,1025
A-Agriculture and fishing,<55,0,2,2325
A-Agriculture and fishing,<55,0,5,4005
A-Agriculture and fishing,<55,0,4,5350
A-Agriculture and fishing,<55,0,50,808
A-Agriculture and fishing,<55,0,8,938
A-Agriculture and fishing,<55,0,14,1014
A-Agriculture and fishing,<55,0,1,4000
A-Agriculture and fishing,<55,0,21,698
A-Agriculture and fishing,<55,0,70,964
A-Agriculture and fishing,<55,0,57,883
A-Agriculture and fishing,<55,0,3,2433
A-Agriculture and fishing,<55,0,7,1429
A-Agriculture and fishing,<55,0,2,2400
A-Agriculture and fishing,<55,0,5,960
A-Agriculture and fishing,<55,0,76,789
A-Agriculture and fishing,<55,0,59,853
A-Agriculture and fishing,<55,0,26,1117
A-Agriculture and fishing,<55,0,2,750
A-Agriculture and fishing,<55,0,17,2200
A-Agriculture and fishing,<55,0,34,1580
A-Agriculture and fishing,<55,0,40,803
A-Agriculture and fishing,<55,0,2,10400
A-Agriculture and fishing,<55,0,4,1681
A-Agriculture and fishing,<55,0,14,1299
A-Agriculture and fishing,<55,0,2,6000
A-Agriculture and fishing,<55,0,1,800
A-Agriculture and fishing,<55,0,1,4000
A-Agriculture and fishing,<55,0,12,2725
A-Agriculture and fishing,<55,0,4,3600
A-Agriculture and fishing,<55,0,5,940
A-Agriculture and fishing,<55,0,45,1006
A-Agriculture and fishing,<55,0,45,1011
A-Agriculture and fishing,<55,0,2,3250
A-Agriculture and fishing,<55,0,6,967
A-Agriculture and fishing,<55,0,15,841
A-Agriculture and fishing,<55,0,38,786
A-Agriculture and fishing,<55,0,5,2450
A-Agriculture and fishing,<55,0,16,988
A-Agriculture and fishing,<55,0,1,1300
A-Agriculture and fishing,<55,0,5,1152
A-Agriculture and fishing,<55,0,1,14000
A-Agriculture and fishing,<55,0,2,2500
A-Agriculture and fishing,<55,0,2,4810
A-Agriculture and fishing,<55,0,18,989
A-Agriculture and fishing,<55,0,22,829
A-Agriculture and fishing,<55,0,11,1696
A-Agriculture and fishing,<55,0,33,770
A-Agriculture and fishing,<55,0,7,1371
A-Agriculture and fishing,<55,0,5,1800
A-Agriculture and fishing,<55,0,2,1220
A-Agriculture and fishing,<55,0,15,854
A-Agriculture and fishing,<55,0,5,940
A-Agriculture and fishing,<55,0,2,3250
A-Agriculture and fishing,<55,0,7,2121
A-Agriculture and fishing,<55,0,45,854
A-Agriculture and fishing,<55,0,3,15400
A-Agriculture and fishing,<55,0,53,921
A-Agriculture and fishing,<55,0,1,1200
A-Agriculture and fishing,<55,0,42,863
A-Agriculture and fishing,<55,0,4,800
A-Agriculture and fishing,<55,0,90,816
A-Agriculture and fishing,<55,0,26,802
A-Agriculture and fishing,<55,0,84,806
A-Agriculture and fishing,<55,1,1,1500
A-Agriculture and fishing,<55,1,248,833
A-Agriculture and fishing,<55,1,20,1795
A-Agriculture and fishing,<55,1,7,3664
A-Agriculture and fishing,<55,1,43,1009
A-Agriculture and fishing,<55,1,4,9950
A-Agriculture and fishing,<55,1,4,925
A-Agriculture and fishing,<55,1,173,824
A-Agriculture and fishing,<55,1,17,3054
A-Agriculture and fishing,<55,1,76,1019
A-Agriculture and fishing,<55,1,3,2667
A-Agriculture and fishing,<55,1,24,5811
A-Agriculture and fishing,<55,1,17,701
A-Agriculture and fishing,<55,1,243,731
A-Agriculture and fishing,<55,1,32,1525
A-Agriculture and fishing,<55,1,186,874
A-Agriculture and fishing,<55,1,13,4563
A-Agriculture and fishing,<55,1,78,976
A-Agriculture and fishing,<55,1,8,2825
A-Agriculture and fishing,<55,1,8,19500
A-Agriculture and fishing,<55,1,84,850
A-Agriculture and fishing,<55,1,16,914
A-Agriculture and fishing,<55,1,5,2062
A-Agriculture and fishing,<55,1,6,6283
A-Agriculture and fishing,<55,1,1,2000
A-Agriculture and fishing,<55,1,237,871
A-Agriculture and fishing,<55,1,44,1651
A-Agriculture and fishing,<55,1,10,2840
A-Agriculture and fishing,<55,1,28,1096
A-Agriculture and fishing,<55,1,30,981
A-Agriculture and fishing,<55,1,151,959
A-Agriculture and fishing,<55,1,86,940
A-Agriculture and fishing,<55,1,48,1066
A-Agriculture and fishing,<55,1,186,867
A-Agriculture and fishing,<55,1,4,3350
A-Agriculture and fishing,<55,1,1,1000
A-Agriculture and fishing,<55,1,20,3666
A-Agriculture and fishing,<55,1,6,14800
A-Agriculture and fishing,<55,1,5,8000
A-Agriculture and fishing,<55,1,71,998
A-Agriculture and fishing,<55,1,40,1214
A-Agriculture and fishing,<55,1,452,776
A-Agriculture and fishing,<55,1,1,2000
A-Agriculture and fishing,<55,1,5,6655
A-Agriculture and fishing,<55,1,4,695
A-Agriculture and fishing,<55,1,150,858
A-Agriculture and fishing,<55,1,5,20640
A-Agriculture and fishing,<55,1,103,838
A-Agriculture and fishing,<55,1,20,1837
A-Agriculture and fishing,<55,1,11,6875
A-Agriculture and fishing,<55,1,61,899
A-Agriculture and fishing,<55,1,3,1233
A-Agriculture and fishing,<55,1,89,965
A-Agriculture and fishing,<55,1,28,1629
A-Agriculture and fishing,<55,1,8,2560
A-Agriculture and fishing,<55,1,28,2518
A-Agriculture and fishing,<55,1,60,1804
A-Agriculture and fishing,<55,1,2,2000
A-Agriculture and fishing,<55,1,10,2300
A-Agriculture and fishing,<55,1,5,740
A-Agriculture and fishing,<55,1,2,10000
A-Agriculture and fishing,<55,1,107,934
A-Agriculture and fishing,<55,1,4,9525
A-Agriculture and fishing,<55,2,51,932
A-Agriculture and fishing,<55,2,26,1272
A-Agriculture and fishing,<55,2,19,1450
A-Agriculture and fishing,<55,2,5,12740
A-Agriculture and fishing,<55,2,16,4438
A-Agriculture and fishing,<55,2,8,5550
A-Agriculture and fishing,<55,2,22,1522
A-Agriculture and fishing,<55,2,9,2900
A-Agriculture and fishing,<55,2,31,1216
A-Agriculture and fishing,<55,2,17,1376
A-Agriculture and fishing,<55,2,64,923
A-Agriculture and fishing,<55,2,20,1390
A-Agriculture and fishing,<55,2,4,4588
A-Agriculture and fishing,<55,2,4,10425
A-Agriculture and fishing,<55,2,3,600
A-Agriculture and fishing,<55,2,52,842
A-Agriculture and fishing,<55,2,2,2600
A-Agriculture and fishing,<55,2,9,1078
A-Agriculture and fishing,<55,2,4,1331
A-Agriculture and fishing,<55,2,5,680
A-Agriculture and fishing,<55,2,29,1061
A-Agriculture and fishing,<55,2,6,1717
A-Agriculture and fishing,<55,2,19,2992
A-Agriculture and fishing,<55,2,4,1250
A-Agriculture and fishing,<55,2,160,773
A-Agriculture and fishing,<55,2,32,2899
A-Agriculture and fishing,<55,2,23,1160
A-Agriculture and fishing,<55,2,2,1350
A-Agriculture and fishing,<55,2,1,31500
A-Agriculture and fishing,<55,2,1,400
A-Agriculture and fishing,<55,2,8,6388
A-Agriculture and fishing,<55,2,1,600
A-Agriculture and fishing,<55,2,60,1018
A-Agriculture and fishing,<55,2,1,1000
A-Agriculture and fishing,<55,2,2,650
A-Agriculture and fishing,<55,2,158,760
A-Agriculture and fishing,<55,2,78,984
A-Agriculture and fishing,<55,2,9,973
A-Agriculture and fishing,<55,2,112,819
A-Agriculture and fishing,<55,2,20,2100
A-Agriculture and fishing,<55,2,32,1103
A-Agriculture and fishing,<55,2,26,977
A-Agriculture and fishing,<55,2,72,803
A-Agriculture and fishing,<55,2,136,932
A-Agriculture and fishing,<55,2,136,966
A-Agriculture and fishing,<55,2,243,811
A-Agriculture and fishing,<55,2,11,1573
A-Agriculture and fishing,<55,2,7,2207
A-Agriculture and fishing,<55,2,72,923
A-Agriculture and fishing,<55,2,18,1444
A-Agriculture and fishing,<55,2,58,968
A-Agriculture and fishing,<55,2,133,946
A-Agriculture and fishing,<55,2,17,1314
A-Agriculture and fishing,<55,2,4,1775
A-Agriculture and fishing,<55,2,8,5288
A-Agriculture and fishing,<55,2,3,13319
A-Agriculture and fishing,<55,2,4,4225
A-Agriculture and fishing,<55,2,11,780
A-Agriculture and fishing,<55,2,128,941
A-Agriculture and fishing,<55,2,8,10175
A-Agriculture and fishing,<55,2,3,1600
A-Agriculture and fishing,<55,2,23,2178
A-Agriculture and fishing,<55,2,1,600
A-Agriculture and fishing,<55,2,102,858
A-Agriculture and fishing,<55,2,29,943
A-Agriculture and fishing,<55,2,11,3573
A-Agriculture and fishing,<55,3,1,5000
A-Agriculture and fishing,<55,3,91,984
A-Agriculture and fishing,<55,3,2,6650
A-Agriculture and fishing,<55,3,80,827
A-Agriculture and fishing,<55,3,7,4350
A-Agriculture and fishing,<55,3,15,1497
A-Agriculture and fishing,<55,3,34,976
A-Agriculture and fishing,<55,3,2,4850
A-Agriculture and fishing,<55,3,23,2550
A-Agriculture and fishing,<55,3,33,1277
A-Agriculture and fishing,<55,3,38,1152
A-Agriculture and fishing,<55,3,24,3401
A-Agriculture and fishing,<55,3,5,3160
A-Agriculture and fishing,<55,3,36,886
A-Agriculture and fishing,<55,3,35,1196
A-Agriculture and fishing,<55,3,122,791
A-Agriculture and fishing,<55,3,3,1700
A-Agriculture and fishing,<55,3,67,890
A-Agriculture and fishing,<55,3,5,9450
A-Agriculture and fishing,<55,3,8,3728
A-Agriculture and fishing,<55,3,7,2033
A-Agriculture and fishing,<55,3,1,2500
A-Agriculture and fishing,<55,3,12,2381
A-Agriculture and fishing,<55,3,17,2812
A-Agriculture and fishing,<55,3,17,2421
A-Agriculture and fishing,<55,3,7,12443
A-Agriculture and fishing,<55,3,39,787
A-Agriculture and fishing,<55,3,4,6725
A-Agriculture and fishing,<55,3,9,12972
A-Agriculture and fishing,<55,3,91,1064
A-Agriculture and fishing,<55,3,11,1597
A-Agriculture and fishing,<55,3,7,4843
A-Agriculture and fishing,<55,3,2,3350
A-Agriculture and fishing,<55,3,71,1022
A-Agriculture and fishing,<55,3,3,4600
A-Agriculture and fishing,<55,3,140,829
A-Agriculture and fishing,<55,3,4,2938
A-Agriculture and fishing,<55,3,1,1800
A-Agriculture and fishing,<55,3,19,1325
A-Agriculture and fishing,<55,3,31,1106
A-Agriculture and fishing,<55,3,17,857
A-Agriculture and fishing,<55,3,6,1156
A-Agriculture and fishing,<55,3,32,1158
A-Agriculture and fishing,<55,3,3,2235
A-Agriculture and fishing,<55,3,21,2928
A-Agriculture and fishing,<55,3,23,1232
A-Agriculture and fishing,<55,3,47,1076
A-Agriculture and fishing,<55,3,3,2233
A-Agriculture and fishing,<55,3,82,835
A-Agriculture and fishing,<55,3,1,5400
A-Agriculture and fishing,<55,3,35,1074
A-Agriculture and fishing,<55,3,5,1775
A-Agriculture and fishing,<55,3,4,2270
A-Agriculture and fishing,<55,3,14,1478
A-Agriculture and fishing,<55,3,14,1021
A-Agriculture and fishing,<55,3,3,3333
A-Agriculture and fishing,<55,3,72,796
A-Agriculture and fishing,<55,4,144,808
A-Agriculture and fishing,<55,4,1,12000
A-Agriculture and fishing,<55,4,15,1400
A-Agriculture and fishing,<55,4,64,931
A-Agriculture and fishing,<55,4,89,763
A-Agriculture and fishing,<55,4,7,2081
A-Agriculture and fishing,<55,4,2,900
A-Agriculture and fishing,<55,4,2,920
A-Agriculture and fishing,<55,4,8,5788
A-Agriculture and fishing,<55,4,5,3160
A-Agriculture and fishing,<55,4,111,883
A-Agriculture and fishing,<55,4,123,859
A-Agriculture and fishing,<55,4,6,1330
A-Agriculture and fishing,<55,4,6,10733
A-Agriculture and fishing,<55,4,44,817
A-Agriculture and fishing,<55,4,15,1072
A-Agriculture and fishing,<55,4,21,972
A-Agriculture and fishing,<55,4,45,1002
A-Agriculture and fishing,<55,4,41,1283
A-Agriculture and fishing,<55,4,10,2070
A-Agriculture and fishing,<55,4,77,828
A-Agriculture and fishing,<55,4,99,900
A-Agriculture and fishing,<55,4,2,500
A-Agriculture and fishing,<55,4,4,8733
A-Agriculture and fishing,<55,4,36,933
A-Agriculture and fishing,<55,4,5,1000
A-Agriculture and fishing,<55,4,10,1922
A-Agriculture and fishing,<55,4,11,1790
A-Agriculture and fishing,<55,4,132,820
A-Agriculture and fishing,<55,4,30,2164
A-Agriculture and fishing,<55,4,8,900
A-Agriculture and fishing,<55,4,5,1121
A-Agriculture and fishing,<55,4,1,12000
A-Agriculture and fishing,<55,4,5,1300
A-Agriculture and fishing,<55,4,1,2000
A-Agriculture and fishing,<55,4,4,3363
A-Agriculture and fishing,<55,4,4,4150
A-Agriculture and fishing,<55,4,17,2593
A-Agriculture and fishing,<55,4,1,600
A-Agriculture and fishing,<55,4,21,1226
A-Agriculture and fishing,<55,4,51,990
A-Agriculture and fishing,<55,4,1,3250
A-Agriculture and fishing,<55,4,8,5000
A-Agriculture and fishing,<55,4,50,924
A-Agriculture and fishing,<55,4,15,7147
A-Agriculture and fishing,<55,4,1,1000
A-Agriculture and fishing,<55,4,6,1287
A-Agriculture and fishing,<55,4,84,1083
A-Agriculture and fishing,<55,4,29,957
A-Agriculture and fishing,<55,4,8,2050
A-Agriculture and fishing,<55,4,3,900
A-Agriculture and fishing,<55,4,4,1388
A-Agriculture and fishing,<55,4,7,3029
A-Agriculture and fishing,<55,4,1,10000
A-Agriculture and fishing,<55,4,29,1094
A-Agriculture and fishing,<55,4,20,1931
A-Agriculture and fishing,<55,4,8,6625
A-Agriculture and fishing,<55,4,15,940
A-Agriculture and fishing,<55,4,16,1664
A-Agriculture and fishing,<55,4,5,1120
A-Agriculture and fishing,<55,4,4,975
A-Agriculture and fishing,<55,4,70,1031
A-Agriculture and fishing,<55,4,4,5390
A-Agriculture and fishing,<55,5,2,6054
A-Agriculture and fishing,<55,5,130,823
A-Agriculture and fishing,<55,5,1,800
A-Agriculture and fishing,<55,5,2,1450
A-Agriculture and fishing,<55,5,2,2750
A-Agriculture and fishing,<55,5,5,842
A-Agriculture and fishing,<55,5,5,6942
A-Agriculture and fishing,<55,5,29,896
A-Agriculture and fishing,<55,5,1,3000
A-Agriculture and fishing,<55,5,47,804
A-Agriculture and fishing,<55,5,30,922
A-Agriculture and fishing,<55,5,7,1740
A-Agriculture and fishing,<55,5,4,3575
A-Agriculture and fishing,<55,5,27,920
A-Agriculture and fishing,<55,5,1,5871
A-Agriculture and fishing,<55,5,1,500
A-Agriculture and fishing,<55,5,73,816
A-Agriculture and fishing,<55,5,3,933
A-Agriculture and fishing,<55,5,7,1012
A-Agriculture and fishing,<55,5,31,885
A-Agriculture and fishing,<55,5,28,928
A-Agriculture and fishing,<55,5,3,5922
A-Agriculture and fishing,<55,5,81,826
A-Agriculture and fishing,<55,5,4,1778
A-Agriculture and fishing,<55,5,4,7850
A-Agriculture and fishing,<55,5,4,2675
A-Agriculture and fishing,<55,5,4,3450
A-Agriculture and fishing,<55,5,3,2600
A-Agriculture and fishing,<55,5,62,809
A-Agriculture and fishing,<55,5,1,920
A-Agriculture and fishing,<55,5,1,630
A-Agriculture and fishing,<55,5,2,750
A-Agriculture and fishing,<55,5,28,1068
A-Agriculture and fishing,<55,5,5,960
A-Agriculture and fishing,<55,5,6,1367
A-Agriculture and fishing,<55,5,4,4575
A-Agriculture and fishing,<55,5,16,931
A-Agriculture and fishing,<55,5,44,945
A-Agriculture and fishing,<55,5,7,879
A-Agriculture and fishing,<55,5,4,998
A-Agriculture and fishing,<55,5,8,2332
A-Agriculture and fishing,<55,5,59,834
A-Agriculture and fishing,<55,5,29,860
A-Agriculture and fishing,<55,5,57,856
A-Agriculture and fishing,<55,5,2,3550
A-Agriculture and fishing,<55,5,15,840
A-Agriculture and fishing,<55,5,94,849
A-Agriculture and fishing,<55,5,18,1447
A-Agriculture and fishing,<55,5,3,5000
A-Agriculture and fishing,<55,5,3,3933
A-Agriculture and fishing,<55,5,4,2630
A-Agriculture and fishing,<55,5,7,3150
A-Agriculture and fishing,<55,5,2,12600
A-Agriculture and fishing,<55,5,2,14375
A-Agriculture and fishing,<55,5,2,17500
A-Agriculture and fishing,<55,5,1,50000
A-Agriculture and fishing,<55,5,2,3400
A-Agriculture and fishing,<55,5,2,1950
A-Agriculture and fishing,<55,5,8,1239
A-Agriculture and fishing,<55,6,6,1000
A-Agriculture and fishing,<55,6,3,1233
A-Agriculture and fishing,<55,6,5,1300
A-Agriculture and fishing,<55,6,1,1000
A-Agriculture and fishing,<55,6,12,4707
A-Agriculture and fishing,<55,6,43,951
A-Agriculture and fishing,<55,6,16,1132
A-Agriculture and fishing,<55,6,18,1234
A-Agriculture and fishing,<55,6,2,3600
A-Agriculture and fishing,<55,6,3,3633
A-Agriculture and fishing,<55,6,12,1128
A-Agriculture and fishing,<55,6,6,1193
A-Agriculture and fishing,<55,6,4,3337
A-Agriculture and fishing,<55,6,39,1017
A-Agriculture and fishing,<55,6,28,903
A-Agriculture and fishing,<55,6,1,827
A-Agriculture and fishing,<55,6,21,1073
A-Agriculture and fishing,<55,6,5,1090
A-Agriculture and fishing,<55,6,33,1174
A-Agriculture and fishing,<55,6,2,1100
A-Agriculture and fishing,<55,6,1,2000
A-Agriculture and fishing,<55,6,1,1200
A-Agriculture and fishing,<55,6,1,800
A-Agriculture and fishing,<55,6,13,1404
A-Agriculture and fishing,<55,6,14,847
A-Agriculture and fishing,<55,6,3,4000
A-Agriculture and fishing,<55,6,2,1023
A-Agriculture and fishing,<55,6,1,2200
A-Agriculture and fishing,<55,6,1,1000
A-Agriculture and fishing,<55,6,16,1044
A-Agriculture and fishing,<55,6,48,842
A-Agriculture and fishing,<55,6,1,700
A-Agriculture and fishing,<55,6,2,915
A-Agriculture and fishing,<55,6,1,2588
A-Agriculture and fishing,<55,6,6,967
A-Agriculture and fishing,<55,6,10,792
A-Agriculture and fishing,<55,6,5,3400
A-Agriculture and fishing,<55,6,4,10725
A-Agriculture and fishing,<55,6,3,5500
A-Agriculture and fishing,<55,6,1,10000
A-Agriculture and fishing,<55,6,1,700
A-Agriculture and fishing,<55,6,1,500
A-Agriculture and fishing,<55,6,13,868
A-Agriculture and fishing,<55,6,3,2767
A-Agriculture and fishing,<55,6,5,1635
A-Agriculture and fishing,<55,6,9,1068
A-Agriculture and fishing,<55,6,13,894
A-Agriculture and fishing,<55,6,2,850
A-Agriculture and fishing,<55,6,5,2682
A-Agriculture and fishing,<55,6,23,797
A-Agriculture and fishing,<55,6,4,925
A-Agriculture and fishing,<55,6,2,850
A-Agriculture and fishing,<55,6,1,3000
A-Agriculture and fishing,<55,6,1,1000
A-Agriculture and fishing,<55,7,6,1351
A-Agriculture and fishing,<55,7,7,1977
A-Agriculture and fishing,<55,7,33,1101
A-Agriculture and fishing,<55,7,1,1000
A-Agriculture and fishing,<55,7,1,1663
A-Agriculture and fishing,<55,7,3,6173
A-Agriculture and fishing,<55,7,1,800
A-Agriculture and fishing,<55,7,34,1018
A-Agriculture and fishing,<55,7,4,4058
A-Agriculture and fishing,<55,7,23,1197
A-Agriculture and fishing,<55,7,8,1213
A-Agriculture and fishing,<55,7,5,2664
A-Agriculture and fishing,<55,7,8,1009
A-Agriculture and fishing,<55,7,20,916
A-Agriculture and fishing,<55,7,10,1030
A-Agriculture and fishing,<55,7,2,4950
A-Agriculture and fishing,<55,7,31,816
A-Agriculture and fishing,<55,7,25,884
A-Agriculture and fishing,<55,7,7,7671
A-Agriculture and fishing,<55,7,7,2186
A-Agriculture and fishing,<55,7,20,1339
A-Agriculture and fishing,<55,7,8,1388
A-Agriculture and fishing,<55,7,14,892
A-Agriculture and fishing,<55,7,4,1195
A-Agriculture and fishing,<55,7,5,5110
A-Agriculture and fishing,<55,7,7,1783
A-Agriculture and fishing,<55,7,2,900
A-Agriculture and fishing,<55,7,21,814
A-Agriculture and fishing,<55,7,4,3150
A-Agriculture and fishing,<55,7,41,922
A-Agriculture and fishing,<55,7,5,2172
A-Agriculture and fishing,<55,7,3,1433
A-Agriculture and fishing,<55,7,34,763
A-Agriculture and fishing,<55,7,23,1435
A-Agriculture and fishing,<55,7,30,963
A-Agriculture and fishing,<55,7,3,3200
A-Agriculture and fishing,<55,7,2,3500
A-Agriculture and fishing,<55,7,2,5375
A-Agriculture and fishing,<55,7,2,1400
A-Agriculture and fishing,<55,7,3,12733
A-Agriculture and fishing,<55,7,1,6000
A-Agriculture and fishing,<55,7,3,1100
A-Agriculture and fishing,<55,7,27,1071
A-Agriculture and fishing,<55,8,2,5000
A-Agriculture and fishing,<55,8,7,980
A-Agriculture and fishing,<55,8,3,1353
A-Agriculture and fishing,<55,8,2,1400
A-Agriculture and fishing,<55,8,24,864
A-Agriculture and fishing,<55,8,3,1017
A-Agriculture and fishing,<55,8,21,1035
A-Agriculture and fishing,<55,8,1,4000
A-Agriculture and fishing,<55,8,1,800
A-Agriculture and fishing,<55,8,2,6150
A-Agriculture and fishing,<55,8,8,775
A-Agriculture and fishing,<55,8,25,763
A-Agriculture and fishing,<55,8,18,1112
A-Agriculture and fishing,<55,8,2,3150
A-Agriculture and fishing,<55,8,4,2775
A-Agriculture and fishing,<55,8,6,1667
A-Agriculture and fishing,<55,8,43,811
A-Agriculture and fishing,<55,8,6,1138
A-Agriculture and fishing,<55,8,8,2445
A-Agriculture and fishing,<55,8,24,818
A-Agriculture and fishing,<55,8,10,768
A-Agriculture and fishing,<55,8,9,922
A-Agriculture and fishing,<55,8,6,1420
A-Agriculture and fishing,<55,8,3,833
A-Agriculture and fishing,<55,8,5,984
A-Agriculture and fishing,<55,8,22,929
A-Agriculture and fishing,<55,8,6,996
A-Agriculture and fishing,<55,8,21,1637
A-Agriculture and fishing,<55,8,1,1800
A-Agriculture and fishing,<55,8,16,883
A-Agriculture and fishing,<55,8,25,2901
A-Agriculture and fishing,<55,8,1,5000
A-Agriculture and fishing,<55,8,6,4465
A-Agriculture and fishing,<55,8,6,4433
A-Agriculture and fishing,<55,8,1,1000
A-Agriculture and fishing,<55,8,4,1925
A-Agriculture and fishing,<55,8,1,1850
A-Agriculture and fishing,<55,8,3,1700
A-Agriculture and fishing,<55,8,3,1033
A-Agriculture and fishing,<55,8,20,986
A-Agriculture and fishing,<55,8,15,1340
A-Agriculture and fishing,<55,9,3,1406
A-Agriculture and fishing,<55,9,10,1330
A-Agriculture and fishing,<55,9,4,2125
A-Agriculture and fishing,<55,9,3,1767
A-Agriculture and fishing,<55,9,7,747
A-Agriculture and fishing,<55,9,3,2500
A-Agriculture and fishing,<55,9,23,848
A-Agriculture and fishing,<55,9,5,6986
A-Agriculture and fishing,<55,9,12,1020
A-Agriculture and fishing,<55,9,4,5817
A-Agriculture and fishing,<55,9,8,832
A-Agriculture and fishing,<55,9,4,1085
A-Agriculture and fishing,<55,9,5,1200
A-Agriculture and fishing,<55,9,6,717
A-Agriculture and fishing,<55,9,2,1025
A-Agriculture and fishing,<55,9,1,1000
A-Agriculture and fishing,<55,9,1,4905
A-Agriculture and fishing,<55,9,10,1100
A-Agriculture and fishing,<55,9,9,1456
A-Agriculture and fishing,<55,9,13,1273
A-Agriculture and fishing,<55,9,3,967
A-Agriculture and fishing,<55,9,1,4200
A-Agriculture and fishing,<55,9,2,650
A-Agriculture and fishing,<55,9,1,9000
A-Agriculture and fishing,<55,9,22,845
A-Agriculture and fishing,<55,9,3,3067
A-Agriculture and fishing,<55,9,1,3456
A-Agriculture and fishing,<55,9,2,6400
A-Agriculture and fishing,<55,9,3,647
A-Agriculture and fishing,<55,9,5,1621
A-Agriculture and fishing,<55,9,2,1485
A-Agriculture and fishing,<55,9,15,1203
A-Agriculture and fishing,<55,9,11,1007
A-Agriculture and fishing,<55,9,17,1170
A-Agriculture and fishing,<55,9,12,738
A-Agriculture and fishing,<55,9,1,1000
A-Agriculture and fishing,<55,9,1,3456
A-Agriculture and fishing,<55,9,14,976
A-Agriculture and fishing,<55,9,2,7000
A-Agriculture and fishing,<55,9,1,5000
A-Agriculture and fishing,<55,9,2,4050
A-Agriculture and fishing,<55,9,3,1067
A-Agriculture and fishing,<55,9,2,1000
A-Agriculture and fishing,<55,9,1,5000
A-Agriculture and fishing,<55,9,1,2280
A-Agriculture and fishing,<55,10,20,1172
A-Agriculture and fishing,<55,10,8,694
A-Agriculture and fishing,<55,10,14,1380
A-Agriculture and fishing,<55,10,16,1121
A-Agriculture and fishing,<55,10,25,981
A-Agriculture and fishing,<55,10,2,900
A-Agriculture and fishing,<55,10,3,2533
A-Agriculture and fishing,<55,10,16,776
A-Agriculture and fishing,<55,10,3,1967
A-Agriculture and fishing,<55,10,4,1575
A-Agriculture and fishing,<55,10,14,994
A-Agriculture and fishing,<55,10,1,12000
A-Agriculture and fishing,<55,10,14,1041
A-Agriculture and fishing,<55,10,3,2110
A-Agriculture and fishing,<55,10,2,600
A-Agriculture and fishing,<55,10,11,1273
A-Agriculture and fishing,<55,10,5,980
A-Agriculture and fishing,<55,10,7,757
A-Agriculture and fishing,<55,10,1,12000
A-Agriculture and fishing,<55,10,1,800
A-Agriculture and fishing,<55,10,4,2799
A-Agriculture and fishing,<55,10,7,1789
A-Agriculture and fishing,<55,10,2,650
A-Agriculture and fishing,<55,10,1,1000
A-Agriculture and fishing,<55,10,3,3933
A-Agriculture and fishing,<55,10,9,6228
A-Agriculture and fishing,<55,10,9,1766
A-Agriculture and fishing,<55,10,2,900
A-Agriculture and fishing,<55,10,4,700
A-Agriculture and fishing,<55,10,7,751
A-Agriculture and fishing,<55,10,3,1200
A-Agriculture and fishing,<55,10,1,3704
A-Agriculture and fishing,<55,10,3,1733
A-Agriculture and fishing,<55,10,3,1600
A-Agriculture and fishing,<55,10,5,1245
A-Agriculture and fishing,<55,10,1,800
A-Agriculture and fishing,<55,10,2,2350
A-Agriculture and fishing,<55,10,4,731
A-Agriculture and fishing,<55,10,7,4309
A-Agriculture and fishing,<55,10,1,1000
A-Agriculture and fishing,<55,10,5,4230
A-Agriculture and fishing,<55,11,11,1436
A-Agriculture and fishing,<55,11,11,925
A-Agriculture and fishing,<55,11,1,10000
A-Agriculture and fishing,<55,11,4,4333
A-Agriculture and fishing,<55,11,15,833
A-Agriculture and fishing,<55,11,5,9221
A-Agriculture and fishing,<55,11,1,3300
A-Agriculture and fishing,<55,11,1,1410
A-Agriculture and fishing,<55,11,17,1144
A-Agriculture and fishing,<55,11,1,700
